complex,bus_stop,distance
FreeDom,"Карамышевская наб., 1",364
FreeDom,5-й автобусный парк,486
FreeDom,5-й автобусный парк,495
FreeDom,5-й автобусный парк,527
FreeDom,Улица Мясищева,580
FreeDom,Ул. Мясищева,604
FreeDom,2-й Силикатный пр.,673
FreeDom,"Филевский бульв., 2",681
FreeDom,Новофилёвский пр.,684
FreeDom,Ул. Демьяна Бедного,685
FreeDom,Новофилёвский пр.,688
FreeDom,2-й Силикатный пр.,698
FreeDom,2-й Силикатный пр.,714
FreeDom,"Филевский бульв., 2",722
FreeDom,"ул. Мневники, 4",728
FreeDom,МЖК Атом,736
FreeDom,"ул. Мневники, 4",791
FreeDom,Силикатный з-д (пос.),804
FreeDom,Силикатный з-д (выс.),819
FreeDom,Силикатный з-д (к/ст),830
FreeDom,Ул. Шеногина,866
FreeDom,Ул. Шеногина,873
FreeDom,Поликлиника № 115,890
FreeDom,Поликлиника № 115,896
FreeDom,Сквер Марш. Жукова,911
FreeDom,Универсам,911
FreeDom,"Просп. Марш. Жукова, 14",925
FreeDom,Сквер Марш. Жукова,950
FreeDom,"Просп. Марш. Жукова, 14",985
