complex,bus_stop,distance
ИзМайЛовО,3-я Прядильная ул.,147
ИзМайЛовО,3-я Прядильная ул.,196
ИзМайЛовО,Школа,201
ИзМайЛовО,Школа,304
ИзМайЛовО,Никитинская ул.,307
ИзМайЛовО,Верхняя Первомайская ул.,356
ИзМайЛовО,Верхняя Первомайская ул.,373
ИзМайЛовО,2-я Прядильная ул.,414
ИзМайЛовО,Пл. Викторио Кодовильи,483
ИзМайЛовО,Измайловский пр.,492
ИзМайЛовО,Щелковский пр.,500
ИзМайЛовО,Пл. Викторио Кодовильи,508
ИзМайЛовО,3-я Парковая ул.,547
ИзМайЛовО,Никитинская ул.,560
ИзМайЛовО,3-я Парковая ул.,565
ИзМайЛовО,1-я Прядильная ул.,575
ИзМайЛовО,Школа,585
ИзМайЛовО,3-я Парковая ул.,626
ИзМайЛовО,"3-я Парковая ул., 44",634
ИзМайЛовО,Цирковая студия,641
ИзМайЛовО,1-я Прядильная ул.,652
ИзМайЛовО,"3-я Парковая ул., 44",682
ИзМайЛовО,Измайловская пл.,684
ИзМайЛовО,Верхняя Первомайская ул.,726
ИзМайЛовО,Верхняя Первомайская ул.,733
ИзМайЛовО,5-я Парковая ул.,738
ИзМайЛовО,"Щёлковский пр., 2",767
ИзМайЛовО,Измайловская пл.,771
ИзМайЛовО,Измайловский бульв.,785
ИзМайЛовО,Измайловский бульв.,812
ИзМайЛовО,Первомайская ул.,815
ИзМайЛовО,3-я Парковая ул.,824
ИзМайЛовО,5-я Парковая ул.,835
ИзМайЛовО,Управа района Северное Измайлово,836
ИзМайЛовО,Измайловская пл.,840
ИзМайЛовО,3-я Парковая ул.,843
ИзМайЛовО,3-я Парковая ул.,847
ИзМайЛовО,Измайловская пл.,849
ИзМайЛовО,3-я Парковая ул.,869
ИзМайЛовО,"Никитинская ул., 26",875
ИзМайЛовО,Первомайская ул.,900
ИзМайЛовО,Управа района Северное Измайлово,908
ИзМайЛовО,Измайловская пл.,909
ИзМайЛовО,Калошино,913
ИзМайЛовО,Калошино,916
ИзМайЛовО,1-я Парковая ул.,917
ИзМайЛовО,Калошино,953
ИзМайЛовО,Калошино,954
ИзМайЛовО,Первомайская ул.,994
ИзМайЛовО,5-я Парковая ул.,996
ИзМайЛовО,Сиреневый сад,999
