complex,bus_stop,distance
Михайловский парк,Поликлиника,105
Михайловский парк,К/т Восход,181
Михайловский парк,Луховицкая ул.,215
Михайловский парк,Поликлиника,223
Михайловский парк,Луховицкая ул.,251
Михайловский парк,"Рязанский проспект, 57",265
Михайловский парк,НИЦ Строительство,299
Михайловский парк,"Рязанский просп., 57",304
Михайловский парк,НИЦ Строительство,339
Михайловский парк,К/т Восход,352
Михайловский парк,2-я Институтская ул.,353
Михайловский парк,НИЦ Строительство,399
Михайловский парк,2-я Институтская ул.,505
Михайловский парк,Ул. Михайлова,512
Михайловский парк,Метро Окская,556
Михайловский парк,Ул. Михайлова,591
Михайловский парк,Платф. Плющево,613
Михайловский парк,Платф. Плющево,617
Михайловский парк,Метро Окская,629
Михайловский парк,Метро Окская,707
Михайловский парк,Метро Окская,731
Михайловский парк,Яснополянская ул.,744
Михайловский парк,Театр Чихачева,833
Михайловский парк,Яснополянская ул.,856
Михайловский парк,Театр Чихачева,887
Михайловский парк,Стахановская ул.,895
Михайловский парк,"Яснополянская ул., 7",900
Михайловский парк,Стахановская ул.,902
Михайловский парк,Окская ул.,932
Михайловский парк,Театр Чихачева,950
Михайловский парк,Ул. Коновалова,964
Михайловский парк,Окская ул.,993
