complex,bus_stop,distance
Нескучный Home & Spa,5-й Донской пр.,106
Нескучный Home & Spa,5-й Донской пр.,122
Нескучный Home & Spa,Метро Ленинский просп. (южн.),509
Нескучный Home & Spa,Метро Ленинский просп. (южн.),514
Нескучный Home & Spa,Метро Ленинский просп. (сев.),548
Нескучный Home & Spa,Метро Ленинский просп. (сев.),548
Нескучный Home & Spa,Метро Ленинский проспект,641
Нескучный Home & Spa,Ул. Орджоникидзе,732
Нескучный Home & Spa,Просп. 60-летия Октября,778
Нескучный Home & Spa,Просп. 60-летия Октября,779
Нескучный Home & Spa,Просп. 60-летия Октября,786
Нескучный Home & Spa,Ул. Орджоникидзе,799
Нескучный Home & Spa,Ул. Вавилова,810
Нескучный Home & Spa,Просп. 60-летия Октября,829
Нескучный Home & Spa,Пл. Гагарина,881
Нескучный Home & Spa,"Просп. 60-летия Октября, 9",906
Нескучный Home & Spa,Ул. Вавилова,913
Нескучный Home & Spa,Пл. Гагарина,929
Нескучный Home & Spa,Онкологический диспансер,950
Нескучный Home & Spa,Университет дружбы народов,967
Нескучный Home & Spa,"Ленинский просп., 34",970
Нескучный Home & Spa,Онкологический диспансер,971
Нескучный Home & Spa,Университет Дружбы народов,992
