complex,bus_stop,distance
Прайм Тайм,"Ул. Авиаконструктора Микояна, 14",227
Прайм Тайм,3-я Песчаная ул.,369
Прайм Тайм,3-я Песчаная ул.,490
Прайм Тайм,ТРЦ Авиапарк,593
Прайм Тайм,Пр. Березовой рощи,682
Прайм Тайм,Метро Аэропорт (сев.) - Финансовый университет,720
Прайм Тайм,Метро Аэропорт (южн.),726
Прайм Тайм,Парк героев Первой мировой войны,729
Прайм Тайм,2-я Песчаная ул.,731
Прайм Тайм,Ул. Лизы Чайкиной,759
Прайм Тайм,ТРЦ Авиапарк,762
Прайм Тайм,Пр. Березовой рощи,766
Прайм Тайм,Парк героев Первой мировой войны,778
Прайм Тайм,2-я Песчаная ул.,799
Прайм Тайм,МАДИ - Финансовый университет,808
Прайм Тайм,Новопесчаная ул.,816
Прайм Тайм,Песчаная пл.,822
Прайм Тайм,Метро Аэропорт (южн.),825
Прайм Тайм,Ул. Константина Симонова,838
Прайм Тайм,Новопесчаная ул.,850
Прайм Тайм,Ул. Лизы Чайкиной,868
Прайм Тайм,Песчаная пл.,880
Прайм Тайм,Ул. Сальвадора Альенде,894
Прайм Тайм,Песчаная пл. (выс.),931
Прайм Тайм,"Новопесчаная ул., 3",952
Прайм Тайм,Песчаная пл. (пос.),952
Прайм Тайм,Спортивный комплекс ЦСКА,964
Прайм Тайм,Ул. Константина Симонова,971
Прайм Тайм,Пл. Марины Расковой,991
Прайм Тайм,Международный центр научно-технической информации,992
