complex,bus_stop,distance
Резиденции композиторов,Даниловская наб.,293
Резиденции композиторов,Даниловская наб.,300
Резиденции композиторов,"3-й Павелецкий проезд, 7",309
Резиденции композиторов,Пожарная часть,319
Резиденции композиторов,Пожарная часть,329
Резиденции композиторов,"3-й Павелецкий проезд, 7",335
Резиденции композиторов,2-й Павелецкий пр.,428
Резиденции композиторов,3-й Павелецкий пр. (выс.),454
Резиденции композиторов,"3-й Павелецкий пр. (к/ст, пос.)",455
Резиденции композиторов,Зиловский бульвар,607
Резиденции композиторов,Железнодорожный проезд,631
Резиденции композиторов,Парк Легенд,641
Резиденции композиторов,Парк Легенд,665
Резиденции композиторов,Префектура ЮАО,669
Резиденции композиторов,Зиловский бульвар,670
Резиденции композиторов,Железнодорожный проезд,685
Резиденции композиторов,Автозаводский мост,701
Резиденции композиторов,Метро Автозаводская,735
Резиденции композиторов,Префектура ЮАО,740
Резиденции композиторов,"Павелецкая наб., 2",747
Резиденции композиторов,Автозаводский мост,752
Резиденции композиторов,Метро Автозаводская,757
Резиденции композиторов,Метро Автозаводская,762
Резиденции композиторов,Автозаводский мост,832
Резиденции композиторов,Метро Автозаводская,835
Резиденции композиторов,З-д Динамо,843
Резиденции композиторов,Метро Автозаводская,860
Резиденции композиторов,"Павелецкая наб., 2",873
Резиденции композиторов,Автозаводский мост,875
Резиденции композиторов,Ул. Даниловский Вал,876
Резиденции композиторов,Ул.Даниловский Вал,883
Резиденции композиторов,З-д Динамо,937
Резиденции композиторов,Свято-Данилов монастырь,952
Резиденции композиторов,Свято-Данилов монастырь,961
Резиденции композиторов,Автозаводская ул.,1000
