complex,bus_stop,distance
Сердце столицы,Ул. Шеногина,201
Сердце столицы,Ул. Шеногина,222
Сердце столицы,1-й Магистральный пр.,508
Сердце столицы,Причальный пр.,519
Сердце столицы,Причальный пр.,533
Сердце столицы,1-й Магистральный пр.,547
Сердце столицы,Романовская школа,548
Сердце столицы,2-й Силикатный пр.,568
Сердце столицы,Романовская школа,591
Сердце столицы,Новофилёвский пр.,612
Сердце столицы,Ст. Пресня,623
Сердце столицы,4-я Магистральная ул.,624
Сердце столицы,Новофилёвский пр.,637
Сердце столицы,2-й Силикатный пр.,652
Сердце столицы,2-й Силикатный пр.,663
Сердце столицы,Шелепихинское ш.,664
Сердце столицы,Шелепихинское ш.,682
Сердце столицы,Мост Окружной ж.д.,723
Сердце столицы,Силикатный з-д (выс.),753
Сердце столицы,Силикатный з-д (пос.),784
Сердце столицы,Метро Шелепиха,817
Сердце столицы,Силикатный з-д (к/ст),841
Сердце столицы,Улица Мясищева,883
Сердце столицы,"Береговой пр., 4",885
Сердце столицы,Шелепихинская наб.,888
Сердце столицы,"Береговой пр., 4",898
Сердце столицы,Ул. Мясищева,921
Сердце столицы,Шелепихинская наб.,922
Сердце столицы,3-я Магистральная ул.,948
Сердце столицы,"1-я Магистральная ул., 23",955
Сердце столицы,Метро Шелепиха,960
Сердце столицы,3-я Магистральная ул.,973
Сердце столицы,Береговой пр.,980
